Manga series,Author(s),Publisher,Demographic,No. of collected volumes,Serialized,Approximate sales in million(s),Volume Category
Golgo 13,"Takao Saito, Saito Production",Shogakukan,1,110.25,1968–present,89.0,Many
Case Closed / Detective Conan,Gosho Aoyama,Shogakukan,0,102.0,1994–present,89.0,Many
KochiKame: Tokyo Beat Cops,Osamu Akimoto,Shueisha,0,110.25,1976–2016,89.0,Many
Oishinbo,"Tetsu Kariya, Akira Hanasaki",Shogakukan,1,110.25,1983–2014 (on hiatus),89.0,Many
Bleach,Tite Kubo,Shueisha,0,74.0,2001–2016,89.0,Moderate
JoJo's Bizarre Adventure,Hirohiko Araki,Shueisha,3,110.25,1987–present,89.0,Many
Hajime no Ippo,George Morikawa,Kodansha,0,110.25,1989–present,89.0,Many
The Kindaichi Case Files,"Yōzaburō Kanari, Seimaru Amagi, Fumiya Satō",Kodansha,3,90.0,1992–present,89.0,Moderate
Kingdom,Yasuhisa Hara,Shueisha,1,68.0,2006–present,89.0,Moderate
Captain Tsubasa,Yōichi Takahashi,Shueisha,3,108.0,1981–present,89.0,Many
Sazae-san,Machiko Hasegawa,Kodansha,4,45.0,1946–1974,86.0,Few
Baki the Grappler,Keisuke Itagaki,Akita Shoten,0,110.25,1991–present,85.0,Many
My Hero Academia,Kōhei Horikoshi,Shueisha,0,37.0,2014–present,85.0,Few
Hunter × Hunter,Yoshihiro Togashi,Shueisha,0,37.0,1998–present (on hiatus),84.0,Few
Vagabond,Takehiko Inoue,Kodansha,1,37.0,1998–2015 (on hiatus),82.0,Few
Fullmetal Alchemist,Hiromu Arakawa,"Enix (2001–2003), Square Enix (2003–2010)",0,27.0,2001–2010,80.0,Few
Sangokushi,Mitsuteru Yokoyama,Ushio Shuppansha,0,60.0,1971–1986,80.0,Moderate
Kinnikuman,Yudetamago,Shueisha,3,80.0,"1979–1987, 2011–present",77.0,Moderate
Fairy Tail,Hiro Mashima,Kodansha,0,63.0,2006–2017,72.0,Moderate
Rurouni Kenshin,Nobuhiro Watsuki,Shueisha,0,28.0,1994–1999,72.0,Few
Tokyo Revengers,Ken Wakui,Kodansha,0,31.0,2017–2022,70.0,Few
Boys Over Flowers,Yoko Kamio,Shueisha,5,37.0,1992–2003,61.0,Few
Major,Takuya Mitsuda,Shogakukan,0,101.0,1994–present,60.5,Many
The Prince of Tennis,Takeshi Konomi,Shueisha,0,42.0,1999–2008,60.0,Few
Rokudenashi Blues,Masanori Morita,Shueisha,0,42.0,1988–1997,60.0,Few
Crayon Shin-chan,"Yoshito Usui, UY Team",Futabasha,1,61.0,1990–present,58.0,Moderate
Initial D,Shuichi Shigeno,Kodansha,1,48.0,1995–2013,56.0,Few
Gintama,Hideaki Sorachi,Shueisha,0,77.0,2003–2019,55.5,Moderate
Bad Boys,Hiroshi Tanaka,Shōnen Gahōsha,1,22.0,1988–1996,55.0,Few
Berserk,"Kentaro Miura, Kōji Mori, Studio Gaga",Hakusensha,1,41.0,1989–present,55.0,Few
H2,Mitsuru Adachi,Shogakukan,0,34.0,1992–1999,55.0,Few
Haikyu!!,Haruichi Furudate,Shueisha,0,45.0,2012–2020,55.0,Few
Ranma ½,Rumiko Takahashi,Shogakukan,0,38.0,1987–1996,55.0,Few
Minami no Teiō,"Dai Tennōji, Rikiya Gō",Nihon Bungeisha,0,110.25,1992–present,53.0,Many
Super Radical Gag Family,Kenji Hamaoka,Akita Shoten,0,101.0,1993–present,51.0,Many
Black Jack,Osamu Tezuka,Akita Shoten,0,25.0,1973–1983,50.0,Few
City Hunter,Tsukasa Hojo,Shueisha,0,35.0,1985–1991,50.0,Few
Cobra,Buichi Terasawa,Shueisha,0,18.0,1978–1984,50.0,Few
Dragon Quest: The Adventure of Dai,"Riku Sanjo, Koji Inada",Shueisha,0,37.0,1989–1996,50.0,Few
Fisherman Sanpei,Takao Yaguchi,Kodansha,0,65.0,1973–1983,50.0,Moderate
Glass Mask,Suzue Miuchi,Hakusensha,5,49.0,1976–2012 (on hiatus),50.0,Few
Great Teacher Onizuka,Tooru Fujisawa,Kodansha,0,25.0,1997–2002,50.0,Few
Inuyasha,Rumiko Takahashi,Shogakukan,0,56.0,1996–2008,50.0,Moderate
Nana,Ai Yazawa,Shueisha,5,21.0,2000–2009 (on hiatus),50.0,Few
Saint Seiya,Masami Kurumada,Shueisha,0,28.0,1986–1990,50.0,Few
Shoot!,Tsukasa Ōshima,Kodansha,0,33.0,1990–2003,50.0,Few
Dokaben,Shinji Mizushima,Akita Shoten,0,48.0,1972–1981,48.0,Few
Kosaku Shima,Kenshi Hirokane,Kodansha,1,106.0,1983–present,47.0,Many
Tokyo Ghoul,Sui Ishida,Shueisha,1,30.0,2011–2018,47.0,Few
Crows,Hiroshi Takahashi,Akita Shoten,0,26.0,1990–1998,46.0,Few
Sailor Moon,Naoko Takeuchi,Kodansha,5,18.0,1991–1997,46.0,Few
Shizukanaru Don – Yakuza Side Story,Tatsuo Nitta,Jitsugyo no Nihon Sha,1,108.0,1988–2013,46.0,Many
Dear Boys,Hiroki Yagami,Kodansha,0,81.0,1989–present,45.0,Moderate
Shonan Junai Gumi,Tooru Fujisawa,Kodansha,0,31.0,1990–1996,45.0,Few
